archetype,opp_archetype,w,l,d,matches,matches_wl,p_win,p_lose,p_draw,p_win_nodraw,p_lose_nodraw
4C Astrolabe,Death's Shadow,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Dino Stompy,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,Dredge,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Eldrazi Post,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,Eldrazi Stompy,1,3,0,4,4,0.25,0.75,0.0,0.25,0.25
4C Astrolabe,Elves,1,3,0,4,4,0.25,0.75,0.0,0.25,0.25
4C Astrolabe,Esper Hatebears,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Food Chain,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Goblins,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Golgari Depths,2,7,1,10,9,0.2,0.7,0.1,0.2222222222222222,0.2222222222222222
4C Astrolabe,Grixis Control,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Grixis Delver,7,4,0,11,11,0.6363636363636364,0.36363636363636365,0.0,0.6363636363636364,0.6363636363636364
4C Astrolabe,Hogaak,0,6,0,6,6,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,Humans,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Infect,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Jeskai Mentor,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Jeskai Stoneblade,0,0,1,1,0,0.0,0.0,1.0,,
4C Astrolabe,Lands,3,3,0,6,6,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Manaless Dredge,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Maverick,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
4C Astrolabe,Miracles,4,1,3,8,5,0.5,0.125,0.375,0.8,0.8
4C Astrolabe,Mono-Red Aggro,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Mono-Red Prison,3,3,0,6,6,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Ninjas,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Omni-Tell,2,5,0,7,7,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.2857142857142857
4C Astrolabe,Other,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,Painter,1,0,1,2,1,0.5,0.0,0.5,1.0,1.0
4C Astrolabe,Punishing Eldrazi,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,RUG Delver,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Reanimator,6,3,0,9,9,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Selesnya Depths,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,Sneak Attack,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Sneak and Show,4,2,0,6,6,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Astrolabe,Splinter Twin,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Astrolabe,Steel Stompy,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,The Epic Storm,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,The Rock,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Turbo Depths,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,U/B Midrange,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,U/B Reanimator,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Astrolabe,UR Delver,6,9,1,16,15,0.375,0.5625,0.0625,0.4,0.4
4C Astrolabe,UW Stoneblade,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
4C Astrolabe,Urza ThopterSword,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,4C Astrolabe,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,4C Loam,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Ad Nauseam Tendrils,4,4,0,8,8,0.5,0.5,0.0,0.5,0.5
4C Loam,Aluren,0,2,0,2,2,0.0,1.0,0.0,0.0,0.0
4C Loam,BUG Delver,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Burn,0,5,0,5,5,0.0,1.0,0.0,0.0,0.0
4C Loam,Death and Taxes,3,3,0,6,6,0.5,0.5,0.0,0.5,0.5
4C Loam,Death's Shadow,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Doomsday,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Dredge,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Eldrazi Post,0,2,0,2,2,0.0,1.0,0.0,0.0,0.0
4C Loam,Eldrazi Stompy,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
4C Loam,Enchantress,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Esper Control,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Esper Thopter,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,Food Chain,0,0,1,1,0,0.0,0.0,1.0,,
4C Loam,Goblins,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Golgari Depths,3,3,1,7,6,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5,0.5
4C Loam,Grixis Control,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Grixis Delver,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Hogaak,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Infect,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
4C Loam,Jeskai Mentor,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
4C Loam,Jund,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Lands,2,1,1,4,3,0.5,0.25,0.25,0.6666666666666666,0.6666666666666666
4C Loam,Maverick,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
4C Loam,Merfolk,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Miracles,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
4C Loam,Mono-Red Prison,3,7,0,10,10,0.3,0.7,0.0,0.3,0.3
4C Loam,Omni-Tell,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,Painter,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,Reanimator,1,2,0,3,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
4C Loam,Reanimator Depths,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Red Eldrazi,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,Sneak Attack,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,Sneak and Show,0,3,0,3,3,0.0,1.0,0.0,0.0,0.0
4C Loam,The Epic Storm,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,U/B Reanimator,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Loam,U/G Eldrazi,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Loam,UR Delver,3,5,0,8,8,0.375,0.625,0.0,0.375,0.375
4C Loam,UW Stoneblade,2,2,0,4,4,0.5,0.5,0.0,0.5,0.5
4C Loam,Unknown,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
4C Waterfalls,BUG Control,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Waterfalls,Burn,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Waterfalls,Eldrazi Stompy,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
4C Waterfalls,Golgari Depths,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
