Date,,Tournament Type,Opposing Deck,Opponent,G1,G2,G3,MW: 99-21 (82.5%),gw,gl,mw,ml,w,l
,43,League,Hogaak,WotC_TonyM,W,L,W,2-1,2,1,1,0,3,1
???,44,League,Burn,ZacTheOwl,L,W,W,2-1,2,1,1,0,0,0
,45,League,Lands,f_mexins,W,W,,2-0,2,0,1,0,1,0
,46,League,Oops,Orim67,L,W,W,2-1,2,1,1,0,2,0
,47,League,Lands,jstealths17,W,W,,2-0,2,0,1,0,3,0
,48,League,UR Delver,illig719,W,W,,2-0,2,0,1,0,4,0
???,49,League,Death & Taxes,YungGurt,W,L,W,2-1,2,1,1,0,0,0
,50,League,Breach,piao,W,L,W,2-1,2,1,1,0,1,0
,51,League,Breach,kingregal,L,W,W,2-1,2,1,1,0,2,0
,52,League,Esper Vial,jtl005,W,L,W,2-1,2,1,1,0,3,0
,53,League,UR Delver,TonyScapone,W,L,W,2-1,2,1,1,0,4,0
???,54,League,Breach Stompy,Maraxus_of_NL,W,L,W,2-1,2,1,1,0,0,0
,55,League,4c Miracles,discoverN,W,W,,2-0,2,0,1,0,1,0
,56,League,RUG Delver,HmNicklas,W,W,,2-0,2,0,1,0,2,0
,57,League,4c Black,Lord_Muffin,W,L,W,2-1,2,1,1,0,3,0
,58,League,Steel Stompy,repia1152,W,L,W,2-1,2,1,1,0,4,0
???,69,League,Infect,ChiggyWigs,L,L,,0-2,0,2,0,1,0,0
,70,League,UG Omni,krsmatic,W,W,,2-0,2,0,1,0,0,1
,71,League,UR Delver,jackhorzan,W,L,L,1-2,1,2,0,1,1,1
,72,League,Grixis Delver,capsula1,W,L,L,1-2,1,2,0,1,1,2
,73,League,BUG Delver,Shimpei,L,L,,0-2,0,2,0,1,1,3
???,74,League,Breach,Sarusta,W,W,,2-0,2,0,1,0,0,0
,75,League,Sneak & Show,akiiii1126,L,W,W,2-1,2,1,1,0,1,0
,76,League,Dredge,basuta,W,W,,2-0,2,0,1,0,2,0
,77,League,Lands,alli,L,W,L,1-2,1,2,0,1,3,0
,78,League,UG Omni,Yamaro,W,L,W,2-1,2,1,1,0,3,1
???,79,League,Breach Stompy,CoolUser,W,W,,2-0,2,0,1,0,0,0
,80,League,Oops,GHash7,W,L,W,2-1,2,1,1,0,1,0
,81,League,GW Depths,DNSolver,L,W,W,2-1,2,1,1,0,2,0
,82,League,Sneak & Show,pinkfrosting,W,L,W,2-1,2,1,1,0,3,0
,83,League,Eldrazi Stompy,Stabbington,L,L,,0-2,0,2,0,1,4,0
???,84,League,UG Omni,cozzzy,L,W,W,2-1,2,1,1,0,0,0
,85,League,TES,Lavaridge,W,W,,2-0,2,0,1,0,1,0
,86,League,BR Reanimator,WingedHussar,W,L,W,2-1,2,1,1,0,2,0
,87,League,Painter,oooooooosawa5,L,W,W,2-1,2,1,1,0,3,0
,88,League,Eldrazi Post,Kagami_Mashiro_,W,L,W,2-1,2,1,1,0,4,0
???,89,League,UR Delver,Morel_Mackernasey,W,W,,2-0,2,0,1,0,0,0
,90,League,Aluren,beta_pakuchi,W,W,,2-0,2,0,1,0,1,0
,91,League,Sneak & Show,sansasaaaaaan,L,W,W,2-1,2,1,1,0,2,0
,92,League,UR Delver,illig719,L,W,W,2-1,2,1,1,0,3,0
,93,League,Elves,SuperCow12653,W,L,W,2-1,2,1,1,0,4,0
