Date,Type,Event,DV,w,l,Opposing Deck,M-Results,M-Result
01/29/2020,Modo,League,v8.9,,,Death and Taxes,0-2,L
01/29/2020,Modo,League,v8.9,,,Mono-Red Stompy,0-2,L
01/29/2020,Modo,League,v8.9,,,4c Delver,0-2,L
01/30/2020,Modo,League,v0.0,0,0,TES,2-1,W
01/30/2020,Modo,League,v0.0,1,0,4C Loam,2-1,W
01/30/2020,Modo,League,v0.0,2,0,Control: Grixis,2-0,W
01/30/2020,Modo,League,v0.0,3,0,4C Loam,2-1,W
01/30/2020,Modo,League,v0.0,4,0,UR Delver,1-2,L
01/30/2020,Modo,League,v0.0,0,1,Control: 4c,1-2,L
01/30/2020,Modo,League,v0.0,0,2,Selesnya Depths,0-2,L
01/31/2020,Modo,League,v9.0,0,0,Eldrazi Post,2-1,W
01/31/2020,Modo,League,v9.0,1,0,Grixis Delver,2-0,W
01/31/2020,Modo,League,v9.0,2,0,Esper Stoneblade,1-2,L
01/31/2020,Modo,League,v9.0,2,1,Pox,2-1,W
01/31/2020,Modo,League,v9.0,3,1,Rogue,2-0,W
01/31/2020,Modo,League,v9.0,0,0,Rogue,1-2,L
01/31/2020,Modo,League,v9.0,0,1,BUG: Leovold,0-2,L
02/04/2020,Modo,League,v9.0,0,0,UW Stoneblade,2-1,W
02/04/2020,Modo,League,v9.0,1,0,Eldrazi Post,0-2,L
02/04/2020,Modo,League,v9.0,1,1,Control: 4c,0-2,L
02/04/2020,Modo,League,v9.0,1,2,Jund,2-0,W
02/04/2020,Modo,League,v9.0,2,2,RUG Delver,2-0,W
02/05/2020,Modo,League,v9.1,0,0,Grixis Delver,2-1,W
02/05/2020,Modo,League,v9.1,1,0,Grixis Delver,2-1,W
02/05/2020,Modo,League,v9.1,2,0,Death and Taxes,2-0,W
02/05/2020,Modo,League,v9.1,3,0,Dredge,2-0,W
02/05/2020,Modo,League,v9.1,4,0,Rogue,2-1,W
02/06/2020,Modo,League,v9.1,0,0,Mono-Red Stompy,0-2,L
02/06/2020,Modo,League,v9.1,0,1,Death and Taxes,2-0,W
02/06/2020,Modo,League,v9.1,1,1,Goblins,2-0,W
02/06/2020,Modo,League,v9.1,2,1,Goblins,2-0,W
02/06/2020,Modo,League,v9.1,3,1,Breach,L
02/06/2020,Modo,League,v9.1,0,0,BUG Control,1-2,L
02/06/2020,Modo,League,v9.1,0,1,Steel Stompy,1-2,L
02/06/2020,Modo,League,v9.1,0,0,Rogue,2-1,W
02/06/2020,Modo,League,v9.1,1,0,Mono-Red Stompy,2-1,W
02/06/2020,Modo,League,v9.1,2,0,Miracles,2-0,W
02/06/2020,Modo,League,v9.1,3,0,Miracles,2-1,W
02/06/2020,Modo,League,v9.1,4,0,Breach,L
02/07/2020,Modo,League,v9.1,0,0,Death and Taxes,2-0,W
02/07/2020,Modo,League,v9.1,1,0,UR Delver,1-2,L
02/07/2020,Modo,League,v9.1,1,1,UR Delver,1-2,L
02/07/2020,Modo,League,v9.1,1,2,Death and Taxes,2-0,W
02/07/2020,Modo,League,v9.1,2,2,Rogue,2-1,W
02/07/2020,Modo,League,v9.1,0,0,Lands,2-0,W
02/07/2020,Modo,League,v9.1,1,0,Sneak and Show,1-2,L
02/07/2020,Modo,League,v9.1,1,1,UR Delver,2-0,W
02/07/2020,Modo,League,v9.1,2,1,Rogue,0-2,L
02/07/2020,Modo,League,v9.1,2,2,Control: 4c,2-0,W
02/07/2020,Modo,League,v0.0,0,0,Mono-Red Stompy,0-2,L
02/07/2020,Modo,League,v0.0,0,1,Goblins,0-2,L
02/08/2020,Modo,League,v0.0,,,Rogue,1-2,L
02/08/2020,Modo,League,v0.0,,,Breach,L
02/08/2020,Modo,League,v9.0,0,0,4C Loam,2-0,W
